ID,Timestamp,CustomerId,Events,Status
1,2024-11-07 23:00:23.869,a1,New Program,0
2,2024-11-07 23:00:28.001,a1,New Program,0
3,2024-11-07 23:00:30.707,a1,New Program,0
4,2024-11-07 23:00:32.257,a1,New Program,0
5,2024-11-07 23:00:33.623,a1,New Program,0
ID,Timestamp,CustomerId,Events,Status
6,2024-11-10 16:45:21.088,1234567890,New Program,0
7,2024-11-10 16:45:23.997,1234567890,New Program,0
8,2024-11-10 16:45:30.453,1234567895,New Program,0
9,2024-11-10 16:45:45.876,1234567895,This is New Program,0
10,2024-11-10 16:45:59.288,1234567895,This is New Program,0
11,2024-11-10 16:46:01.064,1234567895,This is New Program,0
12,2024-11-10 16:46:23.565,1234567895,My Program,0
13,2024-11-10 16:46:25.136,1234567895,My Program,0
ID,Timestamp,CustomerId,Events,Status
14,2024-11-10 16:48:19.289,1234567895,My Program,0
15,2024-11-10 16:48:20.737,1234567895,My Program,0
16,2024-11-10 16:48:22.306,1234567895,My Program,0
